                  FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error          Point Props                                            Service               RA (VO)               DEC (VO)               dis (VO)             dis_2 (VO)    Nobjs          Obj.Name (VO)    Obs.Date (VO)    Obs.Qua (VO)    insed           mag (VO)           e_mag (VO) 
          IUE/IUE.1250-1300    1284.5044306971    1.0663936467881E-12    5.0461291791794E-14    1.0663936467881E-12    5.0461291791794E-14                  ---                                     iuecarmen.IUE1          193.38663515           -22.87293149     2.6217941586037E-5                    ---        1              BD-223467              ---             ---        1    7.8568956485004    0.051376573371596 
          IUE/IUE.1450-1500    1475.2282701098    6.6752486962528E-13    3.2220886131535E-14    6.6752486962528E-13    3.2220886131535E-14                  ---                                     iuecarmen.IUE2          193.38663515           -22.87293149     2.6217941586037E-5                    ---        1              BD-223467              ---             ---        1    10.035645527101    0.052407609385453 
            GALEX/GALEX.FUV    1548.8489655268    5.2948023345789E-13    2.3270116956422E-15    5.2948023345789E-13    2.3270116956422E-15                  ---                                     galex6_ais.FUV          193.38686001           -22.87301755    0.00024685577200843                    ---        1    6382526683105198081              ---               0        1                ---                  --- 
          IUE/IUE.1675-1725     1699.579141785    4.2041719364029E-13    1.6269527609235E-14    4.2041719364029E-13    1.6269527609235E-14                  ---                                     iuecarmen.IUE3          193.38663515           -22.87293149     2.6217941586037E-5                    ---        1              BD-223467              ---             ---        1    10.488257090104    0.042016395682362 
          IUE/IUE.2150-2200    2174.9201243517    1.2899209261529E-13    2.3333480485479E-14    1.2899209261529E-13    2.3333480485479E-14                  ---                                     iuecarmen.IUE4          193.38663515           -22.87293149     2.6217941586037E-5                    ---        1              BD-223467              ---             ---        1    11.469984142862     0.19639967096013 
            GALEX/GALEX.NUV    2303.3663681246    1.0719077535749E-13     3.899988468196E-16    1.0719077535749E-13     3.899988468196E-16                  ---                                     galex6_ais.NUV          193.38686001           -22.87301755    0.00024685577200843                    ---        1    6382526683105198081              ---               0        1                ---                  --- 
          IUE/IUE.2395-2445    2420.2015007384    1.1029699098394E-13    1.0265430561081E-14    1.1029699098394E-13    1.0265430561081E-14                  ---                                     iuecarmen.IUE5          193.38663515           -22.87293149     2.6217941586037E-5                    ---        1              BD-223467              ---             ---        1    11.396062877086     0.10105035067747 
          IUE/IUE.2900-3000    2949.8508175552    1.0053387582724E-13    3.9173917801765E-15    1.0053387582724E-13    3.9173917801765E-15                  ---                                     iuecarmen.IUE6          193.38663515           -22.87293149     2.6217941586037E-5                    ---        1              BD-223467              ---             ---        1    11.414209464588    0.042306675724592 
          Generic/Johnson.U    3551.0524592918    1.5492431843841E-13                      0    1.5492431843841E-13                      0                  ---                                          UBVmerm.U           193.3866350            -22.8729356     2.5670064528289E-5                    ---        1            BD-22_03467              ---             ---        1             10.884                    0 
               SLOAN/SDSS.u    3608.0403153219    2.1027879224249E-14    9.6836962478069E-17    2.1027879224249E-14    9.6836962478069E-17            nofit,bad                                           sdss12.u          193.38662863           -22.87296355     3.3926090022788E-5                    ---        1    J125332.79-225222.6        2000.3373               1      ---             14.030                0.005 
              TYCHO/TYCHO.B               4280    3.0501485544936E-13    1.4889240377148E-14    3.0501485544936E-13    1.4889240377148E-14                  ---                                            tycho.B        193.3866366947         -22.8729381816     2.7334093637975E-5                    ---        1                    ---              ---             ---        1             10.823                0.053 
               Misc/APASS.B    4299.2376426776    3.7232113019113E-13    1.1316374311239E-14    3.7232113019113E-13    1.1316374311239E-14                  ---                                            apass.B          193.38639998           -22.87301600    0.00020694458775759                    ---        1                    ---              ---             ---        1             10.592                0.033 
          Generic/Johnson.B    4369.5312126406    3.9150009409553E-13    8.4803437205736E-14    3.9150009409553E-13    8.4803437205736E-14                  ---           calc:gaiadr3_phot_vizflx.jkc_B,UBVmerm.B                   ---                    ---    0.00025565068230449                    ---        1                    ---              ---             ---        1                ---                  --- 
          Generic/Johnson.B    4369.5312126406            3.91006E-13            3.05491E-15            3.91006E-13            3.05491E-15                  ---                          gaiadr3_phot_vizflx.jkc_B       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---      ---                ---                  --- 
          Generic/Johnson.B    4369.5312126406      4.10891029368E-13                      0      4.10891029368E-13                      0                  ---                                          UBVmerm.B           193.3866350            -22.8729356     2.5670064528289E-5                    ---        1            BD-22_03467              ---             ---      ---             10.535                    0 
               SLOAN/SDSS.g    4671.7822137652    4.6012009762362E-13    6.3455544149852E-14    4.6012009762362E-13    6.3455544149852E-14                  ---            calc:apass.g,gaiadr3_phot_vizflx.sdss_g                   ---                    ---    0.00025565068230449                    ---        1                    ---              ---             ---        1                ---                  --- 
               SLOAN/SDSS.g    4671.7822137652    4.1437182143071E-13    3.8165055159325E-16    4.1437182143071E-13    3.8165055159325E-16            nofit,bad                                           sdss12.g          193.38662863           -22.87296355     3.3926090022788E-5                    ---        1    J125332.79-225222.6        2000.3373               1      ---             10.187                0.001 
               SLOAN/SDSS.g    4671.7822137652    4.6485274101488E-13    3.4767907648181E-15    4.6485274101488E-13    3.4767907648181E-15                  ---                         gaiadr3_phot_vizflx.sdss_g       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---      ---                ---                  --- 
               SLOAN/SDSS.g    4671.7822137652    3.3805721893109E-13    8.9672315084899E-14    3.3805721893109E-13    8.9672315084899E-14                  ---                                            apass.g          193.38639998           -22.87301600    0.00020694458775759                    ---        1                    ---              ---             ---      ---             10.408                0.288 
     Hipparcos/Hipparcos.Hp     4901.702943868    5.2693755483719E-13    2.6207680868068E-15    5.2693755483719E-13    2.6207680868068E-15                  ---                                       hipparcos.Hp          193.38679576           -22.87289877    0.00017774492889145                    ---        1                    ---              ---             ---        1             9.7968               0.0054 
             GAIA/GAIA3.Gbp    5035.7502754443    4.6668299828195E-13    3.0152639458838E-15    4.6668299828195E-13    3.0152639458838E-15                  ---                                    gaiadr3_viz.Gbp       193.38633689778        -22.87299402073    0.00025565068230449                    ---        1    3499149202247569536              ---             ---        1           9.853701             0.007015 
